一	heng	hv
丁	hengyi	hy
丂	hengyi	hy
七	hengyi	hy
丄	shuheng	sh
丅	hengshu	hs
丆	hengpie	hp
万	hengyi	hy
丈	hengshui	hs
三	erheng	eh
上	buheng	bh
下	hengbu	hb
丌	hengshu	hs
不	hengxiao	hx
与	hengheng	hh
丏	hengyi	hy
丐	xiayi	xy
丑	yitu	yt
丒	renheng	rh
专	erdian	ed
且	yueheng	yh
丕	buheng	bh
世	nianyi	ny
丗	saheng	sh
丘	changgong	cg
丙	hengnei	hn
业	shuheng	sh
丛	congheng	ch
东	hengxiao	hx
丝	siheng	sh
丞	liaoheng	lh
丟	wangsi	ws
丠	beiheng	bh
両	hengshan	hs
丢	piequ	pq
丣	qiheng	qh
两	hengcong	hc
严	yapie	yp
並	baya	by
丧	tuyi	ty
丨	shu	sv
丩	yishu	ys
个	renshu	rs
丫	bashu	bs
丬	pan	pv
中	koushu	ks
丮	yishi	ys
丯	shanshu	ss
丰	sanshu	ss
丱	yiheng	yh
串	lvshu	ls
丳	chuanpie	cp
临	shukou	sk
丵	yegan	yg
丶	dian	dv
丷	ba	bv
丸	jiudian	jd
丹	kuanger	ke
为	lidian	ld
主	dianwang	dw
丼	jingdian	jd
丽	hengdian	hd
举	xingshi	xs
丿	pie	pv
乀	yi	yv
乁	yi	yv
乂	piedian	pd
乃	yipie	yp
乄	yidian	yd
久	daoshui	ds
乆	yiren	yr
乇	pieqi	pq
么	piesi	ps
义	piedian	pd
乊	piepie	pp
之	dianyi	dy
乌	pieheng	ph
乍	rener	re
乎	pieyi	py
乏	piezhi	pz
乐	piexiao	px
乑	piedian	pd
乒	qiupie	qp
乓	qiudian	qd
乔	yaoshu	ys
乕	changjin	cj
乖	qianbei	qb
乗	hecao	hc
乘	hebei	hb
乙	yi	yv
乚	yi	yv
乛	yi	yv
乜	yiyi	yy
九	yipie	yp
乞	renyi	ry
也	yiyi	yy
习	yishui	ys
乡	yipie	yp
乢	shanyi	sy
乣	yaoyi	yy
乤	xiayi	xy
乥	pieyi	py
书	yidian	yd
乧	douyi	dy
乨	taiyi	ty
乩	zhanyi	zy
乪	yitian	yt
乫	jiayi	jy
乬	juyi	jy
乭	shiyi	sy
乮	maoyi	my
乯	huyi	hy
买	yitou	yt
乱	sheyi	sy
乲	ciyi	cy
乳	fuyi	fy
乴	zheyi	zy
乵	xinyi	xy
乶	fuyi	fy
乷	shayi	sy
乸	yemu	ym
乹	zhuoyi	zy
乺	suoyi	sy
乻	yuyi	yy
乼	zhuyi	zy
乽	zheyi	zy
乾	zhuoqi	zq
乿	zhaoyi	zy
亀	guiri	gr
亁	shiqi	sq
亂	zhaoyi	zy
亃	linyi	ly
亄	yiyi	yy
亅	yi	yv
了	yiyi	yy
亇	daoyi	dy
予	yiyi	yy
争	daoyi	dy
亊	hengjin	hj
事	hengjin	hj
二	hengheng	hh
亍	hengding	hd
于	eryi	ey
亏	hengkao	hk
亐	eryi	ey
云	ersi	es
互	hengji	hj
亓	hengqi	hq
五	gongyi	gy
井	caoheng	ch
亖	erer	ee
亗	shaner	se
亘	hengdan	hd
亙	erdian	ed
亚	hengye	hy
些	cier	ce
亜	gongzhong	gz
亝	sier	se
亞	ershu	es
亟	liaoheng	lh
亠	er	ev
亡	eryi	ey
亢	erji	ej
亣	dianqi	dq
交	liucha	lc
亥	erren	er
亦	erba	eb
产	lipie	lp
亨	erliao	el
亩	ertian	et
亪	yiyi	yy
享	hengheng	hh
京	erxiao	ex
亭	erding	ed
亮	erji	ej
亯	erri	er
亰	erxiao	ex
亱	erdan	ed
亲	limu	lm
亳	ertuo	et
亴	erjiu	ej
亵	yizhi	yz
亶	erdan	ed
亷	chanjian	cj
亸	xiangdan	xd
亹	erqie	eq
人	pieshui	ps
亻	ren	rv
亼	renheng	rh
亽	rendian	rd
亾	renyi	ry
亿	renyi	ry
什	renshi	rs
仁	rener	re
仂	renli	rl
仃	rending	rd
仄	changren	cr
仅	renyou	ry
仆	renbu	rb
仇	renjiu	rj
仈	renba	rb
仉	renji	rj
今	renyi	ry
介	renshu	rs
仌	renren	rr
仍	rennai	rn
从	renren	rr
仏	rensi	rs
仐	renshi	rs
仑	renbi	rb
